Geneid	RNA_abo_rep1	RNA_abo_rep2	RNA_abo_rep3	RNA_Col_rep1	RNA_Col_rep2	RNA_Col_rep3	RNA_ld_rep1	RNA_ld_rep2	RNA_ld_rep3	RNA_ldabo_rep1	RNA_ldabo_rep2	RNA_ldabo_rep3
AT1G01010	38	34	42	32	31	20	35	38	32	67	40	44
AT1G01020	46	50	67	51	53	63	166	103	61	103	52	70
AT1G01030	82	84	66	116	85	82	72	45	60	147	69	66
AT1G01040	61	178	177	154	267	98	494	294	67	286	110	103
AT1G01046	1	1	2	2	1	1	8	2	0	0	0	1
AT1G01050	602	518	479	479	471	474	703	538	648	939	624	622
AT1G01060	288	168	113	217	175	153	238	101	60	281	148	96
AT1G01070	125	98	97	106	86	89	92	91	102	171	122	112
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	825	909	1148	1094	1222	1121	1146	953	1102	1506	1029	1104
AT1G01090	2049	2769	3043	3194	3299	2911	2703	2610	2642	4569	2545	3029
AT1G01100	5624	4779	4886	4069	4052	4271	4364	3939	5996	11024	7983	9598
AT1G01110	36	37	55	49	75	60	61	56	70	74	32	42
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	257	378	184	362	453	201	396	500	235	651	252	252
AT1G01130	50	35	37	44	30	51	28	26	38	82	42	66
AT1G01140	514	489	617	458	468	523	671	584	595	784	518	558
AT1G01150	13	18	10	7	2	2	8	6	6	19	9	14
AT1G01160	322	309	324	268	281	314	303	288	364	512	341	389
AT1G01170	630	597	738	580	655	668	853	822	1070	1469	979	1041
AT1G01180	119	113	100	63	57	97	55	68	127	124	89	102
AT1G01183	1	0	0	0	0	1	0	1	0	2	0	0
AT1G01190	40	29	28	18	24	32	17	8	24	63	41	32
AT1G01200	14	12	9	15	8	8	5	14	5	29	20	13
AT1G01210	117	140	123	127	123	114	88	100	123	270	171	206
AT1G01220	192	333	347	303	356	214	531	387	221	542	249	264
AT1G01225	87	97	87	63	83	61	69	56	76	146	82	79
AT1G01230	285	318	313	295	313	322	310	338	442	529	340	396
AT1G01240	265	307	325	370	357	441	421	365	521	299	180	180
AT1G01250	8	16	4	21	9	9	13	3	11	5	5	5
AT1G01260	163	178	186	274	274	180	263	218	212	313	170	165
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	1	0	0	0	0	0	0	0	1	1	0
AT1G01290	101	120	133	119	140	143	140	132	124	231	164	197
AT1G01300	1962	1905	2368	1107	1141	1312	1121	992	1454	4003	2679	3201
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	1	0	0	0	0	1	1	2	0	0	1
AT1G01320	2445	3627	4078	4537	5252	3184	5744	4454	2591	5584	2639	3100
AT1G01340	15	18	24	7	15	12	19	31	16	20	7	18
AT1G01350	190	240	253	232	253	241	273	248	262	453	258	306
AT1G01355	0	0	0	0	0	0	0	0	0	0	0	1
AT1G01360	106	64	84	77	75	77	61	66	101	66	45	64
AT1G01370	241	163	163	109	96	77	117	85	102	345	240	219
AT1G01380	5	9	6	13	14	18	24	23	17	33	27	14
AT1G01390	8	5	1	8	9	3	3	2	2	3	2	0
AT1G01400	0	0	0	1	0	0	0	0	0	1	1	1
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	142	138	120	91	83	74	79	66	90	168	86	100
AT1G01430	709	588	772	552	494	831	701	594	999	1108	802	930
AT1G01440	96	151	180	148	192	160	214	228	157	208	133	126
AT1G01448	18	35	68	44	66	69	155	130	65	83	21	31
AT1G01450	0	1	0	0	1	0	0	0	0	0	0	0
AT1G01453	0	0	0	0	0	0	0	0	0	1	0	0
AT1G01460	0	0	0	0	0	1	0	0	0	0	1	1
AT1G01470	188	380	225	201	300	202	228	256	306	301	206	242
AT1G01471	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01480	1	4	4	1	1	1	2	3	2	2	5	3
AT1G01490	580	529	648	533	522	754	535	505	689	783	564	573
AT1G01500	353	398	357	326	330	297	234	202	299	474	265	340
AT1G01510	801	813	822	955	992	940	874	869	1090	1420	929	1060
AT1G01520	6	7	3	9	3	3	6	6	0	3	2	1
AT1G01530	0	1	1	0	0	0	1	0	0	0	0	1
AT1G01540	461	474	707	643	658	689	772	672	654	992	602	630
AT1G01550	1031	1032	1094	997	1026	900	1387	1141	1279	1599	868	922
AT1G01560	3	2	1	0	5	0	4	4	0	0	1	1
AT1G01570	17	22	14	39	28	30	33	18	32	22	14	11
AT1G01580	13	17	11	18	25	15	11	16	14	26	11	12
AT1G01590	0	0	0	0	1	0	0	0	1	0	0	0
AT1G01600	16	14	18	440	324	323	394	316	470	690	387	382
AT1G01610	511	665	714	670	798	684	770	733	692	1424	787	833
AT1G01620	11788	9576	10724	7313	6800	9610	6951	6853	11207	17267	12703	12945
AT1G01630	613	643	615	581	521	612	590	561	683	1339	891	907
AT1G01640	12	19	21	2	8	8	3	4	13	23	25	30
AT1G01650	189	275	257	234	294	232	380	301	197	388	233	210
AT1G01660	2	1	2	2	2	0	0	1	0	0	0	1
AT1G01670	4	3	11	5	7	4	5	2	0	8	2	5
AT1G01680	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01690	97	100	99	121	153	130	163	111	96	173	91	117
AT1G01695	0	1	0	1	2	0	10	6	2	2	1	1
AT1G01700	15	18	24	13	12	19	19	22	26	32	24	15
AT1G01710	249	262	264	223	272	253	364	276	247	487	253	340
AT1G01720	307	362	227	396	398	240	251	315	213	266	160	141
AT1G01725	65	85	70	54	48	66	79	75	83	84	64	61
AT1G01730	332	364	426	246	300	304	339	313	422	710	493	499
AT1G01740	30	60	55	31	35	22	98	44	36	72	52	53
AT1G01750	1	1	0	1	3	0	2	2	3	5	0	0
AT1G01760	19	34	28	34	31	26	66	44	25	56	22	36
AT1G01770	52	90	124	85	156	97	294	245	136	139	87	97
AT1G01780	32	52	81	26	46	54	81	64	53	62	55	43
AT1G01790	987	1383	1626	1387	1530	1531	1934	1487	1262	1283	652	719
AT1G01800	676	724	732	645	721	709	730	710	989	1289	853	1007
AT1G01810	8	11	11	6	5	9	8	11	15	20	25	25
AT1G01820	414	473	638	419	473	603	549	547	676	789	550	618
AT1G01830	279	322	290	314	291	266	287	312	310	469	327	314
AT1G01840	22	27	29	32	28	17	18	32	39	62	40	45
AT1G01860	103	132	146	122	146	98	155	143	89	205	107	126
AT1G01870	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01880	76	78	70	88	100	88	70	83	98	116	73	85
AT1G01890	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01900	372	266	278	398	354	299	223	169	305	558	355	359
