gene_id,Ler_R1,Ara_gene,Ara_annotation,,,,,,,,,;;;;;;;;;;;;;;
AT1G01010,3.477706869,NAC001|ANAC001,NAC domain containing protein 1,,,,,,,,,;;;;;;;;;;;;;;
AT1G01020,4.061639772,ARV1,Arv1-like protein,,,,,,,,,;;;;;;;;;;;;;;
AT1G01030,0.107184648,NGA3,AP2/B3-like transcriptional factor family protein,,,,,,,,,;;;;;;;;;;;;;;
AT1G01040,4.747772921,EMB76|SIN1|SUS1|ATDCL1|DCL1|ASU1|EMB60|CAF,dicer-like 1,,,,,,,,,;;;;;;;;;;;;;;
AT1G01050,18.05256285,AtPPa1|PPa1,pyrophosphorylase 1,,,,,,,,,;;;;;;;;;;;;;;
AT1G01060,0.65654905,LHY1|LHY,Homeodomain-like superfamily protein,,,,,,,,,;;;;;;;;;;;;;;
AT1G01070,0.027879131,AT1G01070,nodulin MtN21 /EamA-like transporter family protein,,,,,,,,,;;;;;;;;;;;;;;
AT1G01080,1.467520361,AT1G01080,RNA-binding (RRM/RBD/RNP motifs) family protein,,,,,,,,,;;;;;;;;;;;;;;
AT1G01090,4.657741106,PDH-E1 ALPHA,pyruvate dehydrogenase E1 alpha,,,,,,,,,;;;;;;;;;;;;;;
AT1G01100,58.44130243,AT1G01100,60S acidic ribosomal protein family,,,,,,,,,;;;;;;;;;;;;;;
AT1G01110,0.069609121,IQD 18,IQ-domain 18,,,,,,,,,;;;;;;;;;;;;;;
AT1G01120,0.820926279,KCS1,3-ketoacyl-CoA synthase 1,,,,,,,,,;;;;;;;;;;;;;;
AT1G01130,1.361245031,AT1G01130,CONTAINS InterPro DOMAIN/s: CBL-interacting protein kinase (InterPro:IPR020660),Calcium/calmodulin-dependent protein kinase-like (InterPro:IPR020636); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G47170.1); Has 176 Blast hits to 176 proteins in 20 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 176; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,,,,,,,,;;;;;;
AT1G01140,1.045136944,SnRK3.12|PKS6|CIPK9,CBL-interacting protein kinase 9,,,,,,,,,;;;;;;;;;;;;;;
AT1G01150,0.031844472,AT1G01150,Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain,,,,,,,,,;;;;;;;;;;;;;;
AT1G01160,82.86742308,GIF2,GRF1-interacting factor 2,,,,,,,,,;;;;;;;;;;;;;;
AT1G01170,257.7114379,AT1G01170,Protein of unknown function (DUF1138),,,,,,,,,;;;;;;;;;;;;;;
AT1G01180,12.69155309,AT1G01180,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,,,,,,,,,;;;;;;;;;;;;;;
AT1G01190,0.262375898,CYP78A8,cytochrome P450,family 78, subfamily A,polypeptide 8,,,,,,;;;;;;;;;;;;;;
AT1G01200,0.211461013,RABA3|ATRABA3|ATRAB-A3,RAB GTPase homolog A3,,,,,,,,,;;;;;;;;;;;;;;
AT1G01210,10.95544104,AT1G01210,DNA-directed RNA polymerase, subunit M, archaeal,,,,,,,;;;;;;;;;;;;;;
AT1G01220,1.339605254,FKGP|AtFKGP,L-fucokinase/GDP-L-fucose pyrophosphorylase,,,,,,,,,;;;;;;;;;;;;;;
AT1G01225,1.658898888,AT1G01225,NC domain-containing protein-related,,,,,,,,,;;;;;;;;;;;;;;
AT1G01230,49.007152,AT1G01230,ORMDL family protein,,,,,,,,,;;;;;;;;;;;;;;
AT1G01240,88.07537472,AT1G01240,unknown protein; INVOLVED IN: N-terminal protein myristoylation; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 11 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G46550.1); Has 95 Blast hits to 78 proteins in 16 species: Archae - 0; Bacteria - 2; Metazoa - 11; Fungi - 0; Plants - 80; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,,,,,,,,,;;;
