Geneid	dNMD4_1	dNMD4_2	dNMD4_3	dUPF1_1	dUPF1_2	dUPF1_3	WT_1	WT_2	dEBS1_1	dEBS1_2	dEBS1_3	dNMD4_4	dNMD4_5	dNMD4_6	WT_3	WT_4	WT_5
YAL012W	18531	16968	15527	15145	13696	11819	17173	13232	15769	13898	10159	28004	41239	29638	38682	23661	22628
YAL069W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL068W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL068C	0	5	2	1	2	3	1	0	0	0	0	1	2	3	1	1	0
YAL067W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL067C	184	158	129	771	672	742	121	162	244	272	132	282	398	280	305	238	198
YAL066W	3	1	1	6	7	6	0	0	2	3	1	1	3	1	1	2	3
YAL065C	5	9	7	6	11	13	5	5	3	11	6	14	16	8	6	12	6
YAL064W-B	35	52	46	192	189	195	32	36	61	48	52	77	92	86	124	85	48
YAL064C-A	6	9	10	15	15	23	4	8	11	7	8	12	27	13	9	8	4
YAL064W	12	7	11	61	60	52	2	13	15	14	11	12	22	13	18	10	12
YAL063C-A	63	43	45	181	122	156	24	47	54	52	43	72	111	69	66	37	48
YAL063C	90	57	82	505	496	542	78	64	112	95	117	110	147	128	155	102	115
YAL062W	279	189	198	668	567	781	288	245	328	248	225	430	461	392	576	393	373
YAL061W	407	463	351	403	285	395	448	336	340	256	160	700	1088	633	965	534	577
YAL060W	7552	6830	6004	8561	6794	7900	7370	6150	6559	5473	4678	10221	14378	10801	14021	8611	8895
YAL059C-A	6	4	5	11	16	17	6	13	12	6	2	3	15	10	8	3	1
YAL059W	1205	1046	1045	1088	1454	1143	1459	1672	1272	1748	1255	1827	2389	1909	2671	2305	2057
YAL058W	1898	1629	1522	2348	2219	2161	1656	1711	1804	1999	1574	2966	3944	2883	3552	2716	2718
YAL056C-A	2	2	5	24	20	18	1	9	3	7	3	3	6	2	5	5	5
YAL056W	2316	2265	2146	2135	2049	2153	2265	2388	2371	2405	2034	3867	5157	4161	5041	3825	3903
YAL055W	484	381	398	424	435	440	438	409	484	355	311	628	949	694	872	660	642
YAL054C	465	505	450	628	513	609	508	532	500	517	410	710	1068	774	1025	706	627
YAL053W	4977	4967	4292	5231	4730	4191	5154	5124	4892	5818	4157	7759	11036	7647	10591	7953	7174
YAL051W	1204	1124	936	1281	1242	1244	1148	1049	1254	1144	851	1944	2594	2044	2578	1682	1539
YAL049C	2374	1994	1791	2274	2206	2211	1992	1881	2128	1904	1451	3608	4669	3257	4367	3021	2970
YAL048C	835	757	658	1251	1276	1233	732	712	980	874	661	1378	1832	1377	1740	1166	1096
YAL047W-A	11	16	10	35	31	40	13	10	21	18	21	17	14	28	18	12	17
YAL047C	518	489	478	631	681	576	542	544	573	536	454	873	1173	908	1181	886	886
YAL046C	1127	1043	963	895	967	1034	1115	985	989	793	754	1606	2363	1539	2128	1482	1499
YAL045C	4	4	0	3	9	7	1	2	6	2	1	8	7	9	4	4	1
YAL044W-A	1305	1203	1096	1494	1562	1603	1165	1196	1198	1182	995	2143	2851	2229	2693	1896	2037
YAL044C	6530	5961	5899	6795	6330	6983	6058	5360	5588	4941	4345	10165	14609	11418	12595	8276	8755
YAL043C	2220	1868	1842	1848	1840	1806	1996	1844	2317	1869	1462	3844	5163	3590	4908	3201	3008
YAL042C-A	8	10	9	28	40	41	18	19	14	10	5	6	19	6	6	10	6
YAL042W	11588	9862	9054	9037	8151	8449	9941	9252	9474	9187	7768	18152	22952	17007	21216	14907	14437
YAL041W	2159	2108	1841	1877	1839	1701	2164	2074	2192	2000	1613	3450	4738	3590	4936	3566	3449
YAL040C	3375	3862	3212	3115	2631	2681	2997	2796	3471	3259	1950	5285	8708	6037	6709	4706	4444
YAL039C	895	757	725	868	942	946	781	694	847	737	554	1206	1742	1370	1691	1111	943
YAL038W	347824	264142	242385	226051	208079	193302	291453	231291	275245	239296	171183	525004	621957	449554	638256	382536	389611
YAL037C-B	347	205	235	229	203	289	395	297	346	322	216	58	81	63	74	67	74
YAL037C-A	1	3	2	5	1	2	2	2	0	0	5	6	17	6	3	5	2
YAL037W	165	160	144	801	785	772	152	164	230	218	172	272	301	239	277	207	218
YAL036C	5887	5030	4623	5131	5466	4626	5898	5981	5562	6032	4619	8092	10755	8352	11345	8775	8102
YAL035W	20631	17183	16751	16476	19142	18637	19506	19629	19069	17677	14691	28361	38446	30739	39904	30505	25906
